Позиция,Слово,Семантическое поле,Количество,,,,,,,,,,,,,,,
25,расспросили,глаголы речевой деятельности,2,,,,,,,,,,,,,,,
25,николаевича,имя,2,,,,,,,,,,,,,,,
25,распросили,глаголы речевой деятельности,1,,,,,,,,,,,,,,,
25,сложилось,глаголы деятельности,1,,,,,,,,,,,,,,,
25,исчезли,глаголы бытия,1,,,,,,,,,,,,,,,
25,выпытывали,глаголы речевой деятельности,1,,,,,,,,,,,,,,,
25,рассказал,глаголы речевой деятельности,1,,,,,,,,,,,,,,,
25,выпытали,глаголы речевой деятельности,1,,,,,,,,,,,,,,,
25,выспрашивали,глаголы речевой деятельности,1,,,,,,,,,,,,,,,
25,пронеслось,глаголы движения,1,,,,,,,,,,,,,,,
25,вызнали,глаголы речевой деятельности,1,,,,,,,,,,,,,,,
25,началось,глаголы начала деятельности,1,,,,,,,,,,,,,,,
25,узнавали,глаголы речевой деятельности,1,,,,,,,,,,,,,,,
25,выясняли,глаголы речевой деятельности,1,,,,,,,,,,,,,,,
25,вспомнилось,глаголы мыслительной деятельности,1,,,,,,,,,,,,,,,
26,жизни,жизнь,43,,,,,,,,,,,,,,,
26,истории,речь,1,,,,,,,,,,,,,,,
26,жены,человек,1,,,,,,,,,,,,,,,
26,работы,деятельность,1,,,,,,,,,,,,,,,
27,страницу,бумага,21,,,,,,,,,,,,,,,
27,тетрадь,бумага,12,,,,,,,,,,,,,,,
27,книгу,бумага,4,,,,,,,,,,,,,,,
27,бумагу,бумага,2,,,,,,,,,,,,,,,
27,обьяснительную,произведение,1,,,,,,,,,,,,,,,
27,страницу эскулапы,бумага,1,,,,,,,,,,,,,,,
27,картотеку,хранение,1,,,,,,,,,,,,,,,
27,роту,наименование групп лиц,1,,,,,,,,,,,,,,,
27,историю,произведение,1,,,,,,,,,,,,,,,
27,доску,предмет мебели,1,,,,,,,,,,,,,,,
27,повесть,бумага,1,,,,,,,,,,,,,,,
27,страницуу,бумага,1,,,,,,,,,,,,,,,
28,родственниках,семья,7,,,,,,,,,,,,,,,
28,здоровье,здоровье,10,,,,,,,,,,,,,,,
28,жизни,жизнь,7,,,,,,,,,,,,,,,
28,семье,семья,4,,,,,,,,,,,,,,,
28,болезнях,здоровье,4,,,,,,,,,,,,,,,
28,тоящем,-,1,,,,,,,,,,,,,,,
28,детстве,жизнь,1,,,,,,,,,,,,,,,
28,похождениях,жизнь,1,,,,,,,,,,,,,,,
28,личной жизни,жизнь,1,,,,,,,,,,,,,,,
28,болезни,здоровье,1,,,,,,,,,,,,,,,
28,личном,жизнь,1,,,,,,,,,,,,,,,
28,семте и предках,семья,1,,,,,,,,,,,,,,,
28,юности,жизнь,1,,,,,,,,,,,,,,,
28,состоянии,здоровье,1,,,,,,,,,,,,,,,
28,личности,человек,1,,,,,,,,,,,,,,,
28,настоящем,жизнь,1,,,,,,,,,,,,,,,
28,произведении,произведение,1,,,,,,,,,,,,,,,
28,самочувствии,здоровье,1,,,,,,,,,,,,,,,
28,здоровьи,здоровье,1,,,,,,,,,,,,,,,
29,умер,глаголы бытия,8,,,,,,,,,,,,,,,
29,он,человек,4,,,,,,,,,,,,,,,
29,лечил,глаголы воздействия на объект,4,,,,,,,,,,,,,,,
29,родители,семья,2,,,,,,,,,,,,,,,
29,болел,глаголы качественного состояния,2,,,,,,,,,,,,,,,
29,виноват,вина,2,,,,,,,,,,,,,,,
29,почему,вопрос,2,,,,,,,,,,,,,,,
29,кого,вопрос,2,,,,,,,,,,,,,,,
29,был,глаголы бытия,1,,,,,,,,,,,,,,,
29,такой,-,1,,,,,,,,,,,,,,,
29,родил,глаголы бытия,1,,,,,,,,,,,,,,,
29,приходил,глаголы однонаправленного движения,1,,,,,,,,,,,,,,,
29,спрашивал,глаголы речевой деятельности,1,,,,,,,,,,,,,,,
29,когда и чем болел кто умер,глаголы бытия,1,,,,,,,,,,,,,,,
29,заразил,глаголы воздействия на объект,1,,,,,,,,,,,,,,,
29,чем болел,глаголы качественного состояния,1,,,,,,,,,,,,,,,
29,бежал,глаголы движения,1,,,,,,,,,,,,,,,
29,это,-,1,,,,,,,,,,,,,,,
29,что,вопросы,1,,,,,,,,,,,,,,,
29,пришел,глаголы однонаправленного движения,1,,,,,,,,,,,,,,,
29,бил,глаголы воздействия на объект,1,,,,,,,,,,,,,,,
29,откуда,вопросы,1,,,,,,,,,,,,,,,
29,спросил,глаголы речевой деятельности,1,,,,,,,,,,,,,,,
29,зачем,вопросы,1,,,,,,,,,,,,,,,
29,посему,вопросы,1,,,,,,,,,,,,,,,
30,пил,глаголы физиологического действия,7,,,,,,,,,,,,,,,
30,страдал,глаголы эмоционального состояния,3,,,,,,,,,,,,,,,
30,болен,глаголы качественного состояния,2,,,,,,,,,,,,,,,
30,было,глаголы бытия,2,,,,,,,,,,,,,,,
30,лежал в больнице,глаголы качественного состояния,1,,,,,,,,,,,,,,,
30,был,глаголы бытия,1,,,,,,,,,,,,,,,
30,воровал,глаголы воздействия на объект,1,,,,,,,,,,,,,,,
30,прививался,глаголы качественного состояния,1,,,,,,,,,,,,,,,
30,болел,глаголы качественного состояния,1,,,,,,,,,,,,,,,
30,болел ли простудой,глаголы качественного состояния,1,,,,,,,,,,,,,,,
30,сколько времени,вопрос,1,,,,,,,,,,,,,,,
30,курил,глаголы физиологического действия,1,,,,,,,,,,,,,,,
30,было ли в роду сумасшедших,,1,,,,,,,,,,,,,,,
30,заразный,качественное состояния,1,,,,,,,,,,,,,,,
30,умер ли,глаголы бытия,1,,,,,,,,,,,,,,,
30,заражал,глаголы воздействия на объект,1,,,,,,,,,,,,,,,
30,скрыться,глаголы изменения состояния,1,,,,,,,,,,,,,,,
30,привлекался,глаголы качественного состояния,1,,,,,,,,,,,,,,,
30,алкоголик,человек,1,,,,,,,,,,,,,,,
30,спросив,глаголы речевой деятельности,1,,,,,,,,,,,,,,,
30,кашляет,глаголы качественного состояния,1,,,,,,,,,,,,,,,
30,дрался,глаголы взаимоотношений,1,,,,,,,,,,,,,,,
30,кашлял,глаголы качественного состояния,1,,,,,,,,,,,,,,,
30,дурак,интеллектуальная характеристика,1,,,,,,,,,,,,,,,
30,воевал,глаголы деятельности,1,,,,,,,,,,,,,,,
30,лечился,глаголы качественного состояния,1,,,,,,,,,,,,,,,
30,сидел,глаголы качественного состояния,1,,,,,,,,,,,,,,,
30,умер,глаголы бытия,1,,,,,,,,,,,,,,,
30,хворает,глаголы качественного состояния,1,,,,,,,,,,,,,,,
30,поняв,глаголы интеллектуальной деятельности,1,,,,,,,,,,,,,,,
30,заразил,глаголы воздействия на объект,1,,,,,,,,,,,,,,,
30,знает,глаголы интеллектуальной деятельности,1,,,,,,,,,,,,,,,
31,вчерашнем,время,7,,,,,,,,,,,,,,,
31,странном,нормативная оценка,6,,,,,,,,,,,,,,,
31,недавнем,время,6,,,,,,,,,,,,,,,
31,том,-,5,,,,,,,,,,,,,,,
31,случившемся,время,2,,,,,,,,,,,,,,,
31,старом,время,2,,,,,,,,,,,,,,,
31,дневном,время,2,,,,,,,,,,,,,,,
31,незначительном,нормативная оценка,1,,,,,,,,,,,,,,,
31,прошедшем,время,1,,,,,,,,,,,,,,,
31,злополучном,нормативная оценка,1,,,,,,,,,,,,,,,
31,современном,время,1,,,,,,,,,,,,,,,
31,сегодняшнем,время,1,,,,,,,,,,,,,,,
31,настоящем,время,1,,,,,,,,,,,,,,,
31,давешнем,время,1,,,,,,,,,,,,,,,
31,жизни,жизнь,1,,,,,,,,,,,,,,,
31,небольшом,характеристика по длительности,1,,,,,,,,,,,,,,,
31,себе,человек,1,,,,,,,,,,,,,,,
31,том самом,нормативная оценка,1,,,,,,,,,,,,,,,
31,самом,-,1,,,,,,,,,,,,,,,
31,событии,событие,1,,,,,,,,,,,,,,,
31,болезни,здоровье,1,,,,,,,,,,,,,,,
32,удивлялись ,глаголы выражения эмоций,5,,,,,,,,,,,,,,,
32,поверили,глаголы интеллектуальной деятельности,10,,,,,,,,,,,,,,,
32,верили,глаголы интеллектуальной деятельности,6,,,,,,,,,,,,,,,
32,удивились,глаголы выражения эмоций,4,,,,,,,,,,,,,,,
32,обрадовались,глаголы выражения эмоций,2,,,,,,,,,,,,,,,
32,заходило,глаголы однонаправленного движения,1,,,,,,,,,,,,,,,
32,придавали значения,глаголы интеллектуальной деятельности,1,,,,,,,,,,,,,,,
32,просили,глаголы речевой деятельности,1,,,,,,,,,,,,,,,
32,не верили,глаголы интеллектуальной деятельности,1,,,,,,,,,,,,,,,
32,имели,глаголы обладания,1,,,,,,,,,,,,,,,
32,придали особого значения,глаголы интеллектуальной деятельности,1,,,,,,,,,,,,,,,
32,предали значения,глаголы интеллектуальной деятельности,1,,,,,,,,,,,,,,,
32,интересовало,глаголы выражения эмоций,1,,,,,,,,,,,,,,,
32,имеет,глаголы обладания,1,,,,,,,,,,,,,,,
32,придрались,глаголы речевой деятельности,1,,,,,,,,,,,,,,,
32,сказали,глаголы речевой деятельности,1,,,,,,,,,,,,,,,
32,приступали,глаголы начала деятельности,1,,,,,,,,,,,,,,,
32,придали значения,глаголы интеллектуальной деятельности,1,,,,,,,,,,,,,,,
32,уделяли внимания,глаголы интеллектуальной деятельности,1,,,,,,,,,,,,,,,
32,перечили,глаголы речевой деятельности,1,,,,,,,,,,,,,,,
32,верил,глаголы интеллектуальной деятельности,1,,,,,,,,,,,,,,,
33,передала,глаголы социального взаимодействия,24,,,,,,,,,,,,,,,
33,показала,глаголы социального взаимодействия,8,,,,,,,,,,,,,,,
33,уступила,глаголы социального взаимодействия,4,,,,,,,,,,,,,,,
33,спросила,глаголы речевой деятельности,2,,,,,,,,,,,,,,,
33,подвела,глаголы социального взаимодействия,1,,,,,,,,,,,,,,,
33,сказала,глаголы речевой деятельности,1,,,,,,,,,,,,,,,
33,привела,глаголы социального взаимодействия,1,,,,,,,,,,,,,,,
33,окликнув,глаголы речевой деятельности,1,,,,,,,,,,,,,,,
33,отдала,глаголы социального взаимодействия,1,,,,,,,,,,,,,,,
33,перенаправила,глаголы социального взаимодействия,1,,,,,,,,,,,,,,,
33,повела,глаголы социального взаимодействия,1,,,,,,,,,,,,,,,
33,отправила,глаголы социального взаимодействия,1,,,,,,,,,,,,,,,
34,пульс,часть тела,34,,,,,,,,,,,,,,,
34,нормальной,нормативная оценка,2,,,,,,,,,,,,,,,
34,зубы,часть тела,2,,,,,,,,,,,,,,,
34,давление,часть тела,2,,,,,,,,,,,,,,,
34,градусы,часть тела,1,,,,,,,,,,,,,,,
34,что-то,-,1,,,,,,,,,,,,,,,
34,рост,часть тела,1,,,,,,,,,,,,,,,
34,цифры,число,1,,,,,,,,,,,,,,,
34,горячим,характеристика температуры,1,,,,,,,,,,,,,,,
34,что,-,1,,,,,,,,,,,,,,,
34,до 10,число,1,,,,,,,,,,,,,,,
35,глаза,часть тела,39,,,,,,,,,,,,,,,
35,зрачки,часть тела,2,,,,,,,,,,,,,,,
35,горло,часть тела,2,,,,,,,,,,,,,,,
35,рот,часть тела,1,,,,,,,,,,,,,,,
35,газа,часть тела,1,,,,,,,,,,,,,,,
35,ноги,часть тела,1,,,,,,,,,,,,,,,
35,уши,часть тела,1,,,,,,,,,,,,,,,
36,помощь,виды социального взаимодействия,11,,,,,,,,,,,,,,,
36,смену,виды социального взаимодействия,25,,,,,,,,,,,,,,,
36,замену,виды социального взаимодействия,4,,,,,,,,,,,,,,,
36,место,место в пространстве,2,,,,,,,,,,,,,,,
36,посещение,виды социального взаимодействия,1,,,,,,,,,,,,,,,
36,миг,время,1,,,,,,,,,,,,,,,
36,встречу,виды социального взаимодействия,1,,,,,,,,,,,,,,,
36,третем,порядковое число,1,,,,,,,,,,,,,,,
36,ум,интеллект,1,,,,,,,,,,,,,,,
37,спину,часть тела,9,,,,,,,,,,,,,,,
37,руку,часть тела,15,,,,,,,,,,,,,,,
37,плечо,часть тела,2,,,,,,,,,,,,,,,
37,перчатках,инструмент,2,,,,,,,,,,,,,,,
37,ягодицу,часть тела,2,,,,,,,,,,,,,,,
37,тупым,внешняя характеристика объекта,2,,,,,,,,,,,,,,,
37,мыщцу,часть тела,1,,,,,,,,,,,,,,,
37,шприце,инструмент,1,,,,,,,,,,,,,,,
37,руки,часть тела,1,,,,,,,,,,,,,,,
37,туловище,часть тела,1,,,,,,,,,,,,,,,
37,палец,часть тела,1,,,,,,,,,,,,,,,
37,теле,часть тела,1,,,,,,,,,,,,,,,
37,ногу,часть тела,1,,,,,,,,,,,,,,,
37,шею,часть тела,1,,,,,,,,,,,,,,,
37,бок,часть тела,1,,,,,,,,,,,,,,,
37,нём,--,1,,,,,,,,,,,,,,,
37,бедро,часть тела,1,,,,,,,,,,,,,,,
37,вену,часть тела,1,,,,,,,,,,,,,,,
37,живот,часть тела,1,,,,,,,,,,,,,,,
38,коже,часть тела,7,,,,,,,,,,,,,,,
38,голой,внешний вид тела,8,,,,,,,,,,,,,,,
38,его,принадлежность,5,,,,,,,,,,,,,,,
38,волосатой,внешний вид тела,4,,,,,,,,,,,,,,,
38,спине и,часть тела,3,,,,,,,,,,,,,,,
38,открытой,внешний вид тела,2,,,,,,,,,,,,,,,
38,всей,-,2,,,,,,,,,,,,,,,
38,сильной,внешний вид тела,1,,,,,,,,,,,,,,,
38,гладкой,внешний вид тела,1,,,,,,,,,,,,,,,
38,обножонной,внешний вид тела,1,,,,,,,,,,,,,,,
38,коленях,часть тела,1,,,,,,,,,,,,,,,
38,груди,часть тела,1,,,,,,,,,,,,,,,
38,кололо,-,1,,,,,,,,,,,,,,,
38,широкой,внешний вид тела,1,,,,,,,,,,,,,,,
38,тощей,внешний вид тела,1,,,,,,,,,,,,,,,
38,впалой,внешний вид тела,1,,,,,,,,,,,,,,,
38,основании,часть тела,1,,,,,,,,,,,,,,,
38,языке,часть тела,1,,,,,,,,,,,,,,,
38,большой,внешний вид тела,1,,,,,,,,,,,,,,,
39,подпрыгивали,глаголы физиологического действия,8,,,,,,,,,,,,,,,
39,дёргались,глаголы физиологического действия,12,,,,,,,,,,,,,,,
39,вздрагивали,глаголы физиологического действия,3,,,,,,,,,,,,,,,
39,дрожали,глаголы физиологического действия,2,,,,,,,,,,,,,,,
39,онемели,глаголы физиологического действия,2,,,,,,,,,,,,,,,
39,поднимались,глаголы физиологического действия,2,,,,,,,,,,,,,,,
39,подскакивали,глаголы физиологического действия,2,,,,,,,,,,,,,,,
39,дёрнулись,глаголы физиологического действия,1,,,,,,,,,,,,,,,
39,забллели,глаголы качественного состояния,1,,,,,,,,,,,,,,,
39,легонько но нервически подёргивались,глаголы физиологического действия,1,,,,,,,,,,,,,,,
39,отекли,глаголы качественного состояния,1,,,,,,,,,,,,,,,
39,болели,глаголы качественного состояния,1,,,,,,,,,,,,,,,
39,ноги,часть тела,1,,,,,,,,,,,,,,,
39,заболели,глаголы качественного состояния,1,,,,,,,,,,,,,,,
39,легались,глаголы физиологического действия,1,,,,,,,,,,,,,,,
39,согибались,глаголы физиологического действия,1,,,,,,,,,,,,,,,
39,содрогались,глаголы физиологического действия,1,,,,,,,,,,,,,,,
39,дрыгались,глаголы физиологического действия,1,,,,,,,,,,,,,,,
39,прыгали,глаголы физиологического действия,1,,,,,,,,,,,,,,,
39,задрожали,глаголы физиологического действия,1,,,,,,,,,,,,,,,
39,подкосились,глаголы физиологического действия,1,,,,,,,,,,,,,,,
39,покраснели,глаголы качественного состояния,1,,,,,,,,,,,,,,,
39,тряслись,глаголы физиологического действия,1,,,,,,,,,,,,,,,
40,резиновые,материал,6,,,,,,,,,,,,,,,
40,странные,нормативная оценка,6,,,,,,,,,,,,,,,
40,металлические,материал,5,,,,,,,,,,,,,,,
40,железные,материал,4,,,,,,,,,,,,,,,
40,непонятные,нормативная оценка,4,,,,,,,,,,,,,,,
40,тугие,внешняя характеристика предмета ,2,,,,,,,,,,,,,,,
40,кожаные,материал,2,,,,,,,,,,,,,,,
40,холодные,характеристика температуры,1,,,,,,,,,,,,,,,
40,провода,электроприборы,1,,,,,,,,,,,,,,,
40,наручники,"предметы, сковывающие движения",1,,,,,,,,,,,,,,,
40,широкие,внешняя характеристика предмета по размеру,1,,,,,,,,,,,,,,,
40,ремешочки датчики и,"предметы, сковывающие движения",1,,,,,,,,,,,,,,,
40,тяжелые,внешняя характеристика предмета,1,,,,,,,,,,,,,,,
40,диковинные,нормативная оценка,1,,,,,,,,,,,,,,,
40,черные,цвет,1,,,,,,,,,,,,,,,
40,мягкие,внешняя характеристика предмета ,1,,,,,,,,,,,,,,,
40,кованные,материал,1,,,,,,,,,,,,,,,
40,кожанные,материал,1,,,,,,,,,,,,,,,
40,блестящие,внешняя характеристика предмета,1,,,,,,,,,,,,,,,
40,необычные,нормативная оценка,1,,,,,,,,,,,,,,,
40,цветные,цвет,1,,,,,,,,,,,,,,,
40,замысловатые,нормативная оценка,1,,,,,,,,,,,,,,,
40,огромные,внешняя характеристика предмета по размеру,1,,,,,,,,,,,,,,,
40,узкие,внешняя характеристика предмета,1,,,,,,,,,,,,,,,
